image,sender_id,label,kids
599975b1-cf40-4fd7-ba10-da037ec968d8,135,Pants,False
23de0982-0629-49e2-b638-dc028f2ca3d0,204,Longsleeve,False
3d49b769-7585-4033-b853-c16519ceabe4,6,Polo,False
0e5442c4-b533-4a0b-851c-01a873ab89d9,48,T-Shirt,False
a7dcbc0a-fef5-4c38-86ae-ae86190b5ff1,260,Longsleeve,False
3de45082-17de-47da-b096-216dc834b15b,41,Pants,False
a19f7f8a-81a9-4028-ba4f-a286ee16a751,181,Longsleeve,False
5dc34a85-d7f8-45bc-b922-2eae1a704f4b,113,Shorts,False
facb2d9e-2e26-48dc-aefc-da385357ad99,43,Pants,False
014b2a1b-c5a0-469b-b115-bc02b2001db5,154,Hat,False
598090c2-f12f-4e60-9b23-d556a38117ad,319,Hoodie,False
4170d1c2-a05c-46fc-8e25-636acc61d1a6,204,Longsleeve,True
18519bfc-435f-4280-8779-f7fad8fe9e79,260,Dress,False
4760d197-0d91-4f70-80a7-a90c91e50d08,48,Shorts,False
81b69e5f-336a-44f6-8a0b-782c4613c0d0,280,T-Shirt,False
adc1a4dc-883b-4b00-92e9-5538026cb00d,181,Shorts,False
9bc8554c-b0b1-4362-b4ec-783c2ecfcdbd,204,Shorts,False
9788d16b-dc13-4f3a-aa94-d9fb00685851,204,Longsleeve,False
1dd614d3-5325-4ed0-b9df-b3753b7ed094,357,T-Shirt,False
e3ea7bde-039f-4455-9705-0b24eb5100c2,48,T-Shirt,False
4881f7be-f4b8-4328-be6b-3879e576dcf3,260,T-Shirt,False
e6abee3d-9e61-4f3f-b523-3f1a1264ab8f,322,Longsleeve,False
b7903329-be11-4de4-aab5-edf992518172,178,Dress,False
a9894b31-1487-46e2-9a87-c831058b4798,103,T-Shirt,False
2d7142fc-f67a-443c-885a-62b5ebe034f1,181,Hoodie,False
bfebe88b-33b9-44d0-851e-599f35a2ddd9,262,Buttondown_Shirt,False
cd6ff00a-3441-4977-a35b-7935cd4331c0,8,Longsleeve,False
2ca50463-77b2-41ca-a96d-7a2d2d7fca5a,181,Blazer,False
a0734f9e-9f67-4d45-a00b-26e65700d157,348,Skirt,False
618876ca-630c-4eb4-98ca-07c60124ef54,260,Dress,False
2dc14f11-7be1-4f03-a1c9-f8407f92d958,310,Pants,False
64b0151b-6138-470c-b699-8fb6db3898f2,204,Longsleeve,False
4a963327-44c6-4bd6-bf02-e7a3d74c1586,331,Undershirt,False
75e88fea-2087-4973-97ec-3449bbff9590,138,T-Shirt,False
087effcb-4eb3-41c1-a0bb-ec5c489f972f,195,Buttondown_Shirt,False
d017d461-5eeb-4a09-b700-2feebb7b365c,204,Shorts,False
c96187e8-185a-48ce-aacb-29c41230dbb0,171,Shoes,False
da1eb101-497b-488e-9c23-9bb47bb7bf94,181,T-Shirt,False
db7b1bb1-f405-4c45-978a-958e02664a4d,43,Polo,False
5bbe556b-67c3-434a-b91f-703cc7c0f453,48,T-Shirt,False
be5eeec0-ce4c-4f0e-ae48-fb3b56d6aa52,260,Buttondown_Shirt,False
d52566d2-6cb0-49a6-b5d7-b514298c0b10,260,Dress,False
40318cb8-8e32-40cb-98cf-f4998b5c1fbe,204,Shorts,True
09c09dd1-ccef-4ced-96dd-ba3b828a49b4,228,Dress,False
24eb8ba7-065a-4493-8fa6-b3afa89751f6,267,Pants,False
b84c9f00-8738-49a7-b804-bb8c685a12f7,48,T-Shirt,False
1603b682-ed73-4f3e-88df-069d0efe2a55,48,T-Shirt,False
60e150bb-707c-42b6-a527-4acb9a7071f5,204,Shoes,False
4f9521b3-9cad-4cb2-bf9e-34bd0b10b068,82,Pants,False
6791b759-a30d-40bb-84f2-ff32ce939988,260,Buttondown_Shirt,False
27e3edf7-b44c-47c0-8ecc-79d039dadae3,48,T-Shirt,False
1c8217d3-1bdd-4cdc-9d92-3931b098acc9,267,Dress,True
bb2b288f-8525-48a1-ace5-2ac72abd92db,282,Buttondown_Shirt,False
8dcc1640-b8cc-4141-bf48-9619eb5e5c0b,204,Longsleeve,False
dcd0e476-3a62-417c-8000-2aac7af37e60,41,Pants,False
24fcfe3e-4ea1-481e-9f39-37a2edcb2c99,285,Hat,False
19c31480-4d55-472e-ae52-a2df4e33c7ea,195,Longsleeve,False
e2dfcb33-19ba-4c82-998b-66f125086e63,232,Shoes,False
78ddd6f1-8d25-4e0b-b2d7-b28d55c77fe0,84,Pants,False
bed78b94-b7d5-4e2a-befb-684dba950ec7,330,Pants,False
ce118595-1373-463c-9be5-0b7d62ce1f0d,41,Skirt,False
4e087288-681e-4722-b9e5-929033c5d23e,181,Pants,False
daa91f5b-24bb-4b0d-9819-4359afe471b4,204,Shorts,True
2acc95a9-ac27-41e6-8061-9b43849db240,310,T-Shirt,False
e204f303-cd35-448f-b7cb-791b133efa4b,129,Longsleeve,False
a824deb0-6985-4b11-a987-74d47f5fc33e,150,Shorts,False
7155bc52-d5f2-42a2-9caa-0f485a02f5bc,41,Longsleeve,False
7614aedf-0a27-4ad8-973d-2a17a067d540,260,Longsleeve,False
87f0802f-4ec0-4e20-a6cc-db90a85daffd,204,T-Shirt,False
1194757c-6518-4f24-9cbd-070b42cf4bc6,262,Shoes,False
0a30baec-1938-47c5-b495-68a51701b43d,0,Shoes,False
909f9c2f-3564-4a30-a891-85601707f188,102,Longsleeve,False
f0759fd0-0102-4019-a4f2-eaf956e89e8f,150,T-Shirt,False
396cdf47-f336-491c-919c-ae80cf1d02ba,57,Blazer,False
4508a5a2-b4ac-40b7-b89b-3ad695375ea2,228,T-Shirt,False
49e9555c-f96e-4887-90e5-036b4d908c64,260,Skirt,False
54730d1c-2c4d-4f00-9424-944113ccddf7,225,Polo,False
a442491b-63d8-4be6-8feb-0dadd876d68c,113,T-Shirt,False
d0e79f68-21f8-48cc-90df-2962f4bff2e7,201,T-Shirt,False
e9db1ad3-67ef-46c3-923a-a33d279271ca,48,T-Shirt,False
